Yearmonth,Campaignname,CampaignID,City,Region,Metroarea,PostalCode,LocationType,Impressions,Clicks,Cost,Ctr,Conversions,CostPerConversion
2025|06,Campaign #1,22625352639,Burnsville,Minnesota,"Minneapolis-St. Paul, MN",55337,LOCATION_OF_PRESENCE,61,6,15.1635,0.0984,0,
2025|06,Campaign #1,22625352639,Minnetonka,Minnesota,"Minneapolis-St. Paul, MN",55305,LOCATION_OF_PRESENCE,53,4,13.5361,0.0755,6,2.256
2025|06,Campaign #1,22625352639,Lakeville,Minnesota,"Minneapolis-St. Paul, MN",55044,LOCATION_OF_PRESENCE,93,4,13.0192,0.043,2,6.5096
2025|06,Campaign #1,22625352639,Fargo,North Dakota,"Fargo-Valley City, ND",58104,LOCATION_OF_PRESENCE,5,1,12.7872,0.2,0,
2025|06,Campaign #1,22625352639,Blaine,Minnesota,"Minneapolis-St. Paul, MN",55434,LOCATION_OF_PRESENCE,28,4,11.7612,0.1429,2,5.8806
2025|06,Campaign #1,22625352639,Blaine,Minnesota,"Minneapolis-St. Paul, MN",55449,LOCATION_OF_PRESENCE,51,3,8.5696,0.0588,5,1.7139
2025|06,Campaign #1,22625352639,Buffalo,Minnesota,"Minneapolis-St. Paul, MN",55313,LOCATION_OF_PRESENCE,14,1,7.8069,0.0714,0,
2025|06,Campaign #1,22625352639,Edina,Minnesota,"Minneapolis-St. Paul, MN",55410,LOCATION_OF_PRESENCE,44,4,6.8797,0.0909,0,
2025|06,Campaign #1,22625352639,North Oaks,Minnesota,"Minneapolis-St. Paul, MN",55127,LOCATION_OF_PRESENCE,22,2,6.7065,0.0909,3,2.2355
2025|06,Campaign #1,22625352639,Richfield,Minnesota,"Minneapolis-St. Paul, MN",55423,LOCATION_OF_PRESENCE,83,3,6.0644,0.0361,2,3.0322
2025|06,Campaign #1,22625352639,Little Canada,Minnesota,"Minneapolis-St. Paul, MN",55109,LOCATION_OF_PRESENCE,43,3,5.5016,0.0698,1,5.5016
2025|06,Campaign #1,22625352639,Howard Lake,Minnesota,"Minneapolis-St. Paul, MN",55349,LOCATION_OF_PRESENCE,3,2,5.2217,0.6667,3,1.7406
2025|06,Campaign #1,22625352639,Plymouth,Minnesota,"Minneapolis-St. Paul, MN",55442,LOCATION_OF_PRESENCE,12,1,4.9817,0.0833,0,
2025|06,Campaign #1,22625352639,Minnetonka,Minnesota,"Minneapolis-St. Paul, MN",55343,AREA_OF_INTEREST,188,4,4.89,0.0213,5,0.978
2025|06,Campaign #1,22625352639,Robbinsdale,Minnesota,"Minneapolis-St. Paul, MN",55422,LOCATION_OF_PRESENCE,53,2,4.5029,0.0377,4,1.1257
2025|06,Campaign #1,22625352639,New Prague,Minnesota,"Minneapolis-St. Paul, MN",56071,LOCATION_OF_PRESENCE,16,2,4.3832,0.125,1,4.3832
2025|06,Campaign #1,22625352639,Little Canada,Minnesota,"Minneapolis-St. Paul, MN",55113,LOCATION_OF_PRESENCE,390,14,4.3675,0.0359,8,0.5459
2025|06,Campaign #1,22625352639,Oak Grove,Minnesota,"Minneapolis-St. Paul, MN",55303,LOCATION_OF_PRESENCE,36,2,4.2751,0.0556,3,1.425
2025|06,Campaign #1,22625352639,Edina,Minnesota,"Minneapolis-St. Paul, MN",55435,LOCATION_OF_PRESENCE,26,1,4.2649,0.0385,0,
2025|06,Campaign #1,22625352639,Two Harbors,Minnesota,"Duluth, MN-Superior, WI",55616,LOCATION_OF_PRESENCE,3,1,4.0441,0.3333,0,
2025|06,Campaign #1,22625352639,Minneapolis,Minnesota,"Minneapolis-St. Paul, MN",55408,LOCATION_OF_PRESENCE,106,2,3.738,0.0189,3,1.246
2025|06,Campaign #1,22625352639,Chanhassen,Minnesota,"Minneapolis-St. Paul, MN",55317,LOCATION_OF_PRESENCE,22,2,3.6498,0.0909,1,3.6498
2025|06,Campaign #1,22625352639,Central City,Iowa,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",52214,AREA_OF_INTEREST,5,1,3.08,0.2,1,3.08
2025|06,Campaign #1,22625352639,Mendota Heights,Minnesota,"Minneapolis-St. Paul, MN",55120,LOCATION_OF_PRESENCE,11,1,2.7284,0.0909,0,
2025|06,Campaign #1,22625352639,Apple Valley,Minnesota,"Minneapolis-St. Paul, MN",55124,LOCATION_OF_PRESENCE,55,4,2.691,0.0727,4,0.6728
2025|06,Campaign #1,22625352639,Belle Plaine,Minnesota,"Minneapolis-St. Paul, MN",56011,LOCATION_OF_PRESENCE,6,1,2.6902,0.1667,0,
2025|06,Campaign #1,22625352639,Verndale,Minnesota,"Minneapolis-St. Paul, MN",56481,LOCATION_OF_PRESENCE,2,2,2.58,1,0,
2025|06,Campaign #1,22625352639,Minneapolis,Minnesota,"Minneapolis-St. Paul, MN",55414,LOCATION_OF_PRESENCE,183,7,2.5094,0.0383,8,0.3137
2025|06,Campaign #1,22625352639,Marshfield,Wisconsin,"Wausau-Rhinelander, WI",54449,LOCATION_OF_PRESENCE,3,1,2.2148,0.3333,1,2.2148
2025|06,Campaign #1,22625352639,Le Center,Minnesota,"Minneapolis-St. Paul, MN",56057,LOCATION_OF_PRESENCE,2,2,2.197,1,1,2.197
2025|06,Campaign #1,22625352639,West Saint Paul,Minnesota,"Minneapolis-St. Paul, MN",55118,LOCATION_OF_PRESENCE,27,1,2.1839,0.037,0,
2025|06,Campaign #1,22625352639,Otsego,Minnesota,"Minneapolis-St. Paul, MN",55374,LOCATION_OF_PRESENCE,20,1,1.9899,0.05,0,
2025|06,Campaign #1,22625352639,Plymouth,Minnesota,"Minneapolis-St. Paul, MN",55441,LOCATION_OF_PRESENCE,29,3,1.9161,0.1034,0,
2025|06,Campaign #1,22625352639,Merrimac,Wisconsin,"Madison, WI",53561,AREA_OF_INTEREST,1,1,1.91,1,0,
2025|06,Campaign #1,22625352639,Ham Lake,Minnesota,"Minneapolis-St. Paul, MN",55304,LOCATION_OF_PRESENCE,50,2,1.8486,0.04,2,0.9243
2025|06,Campaign #1,22625352639,Minnetonka,Minnesota,"Minneapolis-St. Paul, MN",55345,LOCATION_OF_PRESENCE,25,2,1.8042,0.08,0,
2025|06,Campaign #1,22625352639,Brooklyn Park,Minnesota,"Minneapolis-St. Paul, MN",55443,LOCATION_OF_PRESENCE,64,2,1.7307,0.0313,0,
2025|06,Campaign #1,22625352639,Grove City,Minnesota,"Minneapolis-St. Paul, MN",56243,LOCATION_OF_PRESENCE,2,1,1.71,0.5,0,
2025|06,Campaign #1,22625352639,Rochester,Minnesota,"Rochester, MN-Mason City, IA-Austin, MN",55901,LOCATION_OF_PRESENCE,28,1,1.6344,0.0357,4,0.4086
2025|06,Campaign #1,22625352639,Cohasset,Minnesota,"Duluth, MN-Superior, WI",55721,LOCATION_OF_PRESENCE,1,1,1.46,1,0,
2025|06,Campaign #1,22625352639,Sparta,Wisconsin,"La Crosse-Eau Claire, WI",54656,LOCATION_OF_PRESENCE,3,1,1.4444,0.3333,0,
2025|06,Campaign #1,22625352639,Minneapolis,Minnesota,"Minneapolis-St. Paul, MN",55404,LOCATION_OF_PRESENCE,111,6,1.4371,0.0541,2,0.7186
2025|06,Campaign #1,22625352639,Decorah,Iowa,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",52101,LOCATION_OF_PRESENCE,6,2,1.3616,0.3333,0,
2025|06,Campaign #1,22625352639,Rochester,Minnesota,"Rochester, MN-Mason City, IA-Austin, MN",55902,AREA_OF_INTEREST,4,1,1.36,0.25,0,
2025|06,Campaign #1,22625352639,Brooklyn Park,Minnesota,"Minneapolis-St. Paul, MN",55445,LOCATION_OF_PRESENCE,20,2,1.3302,0.1,0,
2025|06,Campaign #1,22625352639,Saint Paul,Minnesota,"Minneapolis-St. Paul, MN",55103,LOCATION_OF_PRESENCE,38,4,1.2946,0.1053,5,0.2589
2025|06,Campaign #1,22625352639,La Crescent,Minnesota,"La Crosse-Eau Claire, WI",55947,LOCATION_OF_PRESENCE,2,1,1.29,0.5,0,
2025|06,Campaign #1,22625352639,Albany,Minnesota,"Minneapolis-St. Paul, MN",56307,LOCATION_OF_PRESENCE,2,1,1.2783,0.5,0,
2025|06,Campaign #1,22625352639,Hastings,Minnesota,"Minneapolis-St. Paul, MN",55033,LOCATION_OF_PRESENCE,19,1,1.2727,0.0526,0,
2025|06,Campaign #1,22625352639,Dayton,Minnesota,"Minneapolis-St. Paul, MN",55327,LOCATION_OF_PRESENCE,11,1,1.1752,0.0909,0,
2025|06,Campaign #1,22625352639,Minnetonka,Minnesota,"Minneapolis-St. Paul, MN",55343,LOCATION_OF_PRESENCE,26,1,1.1718,0.0385,2,0.5859
2025|06,Campaign #1,22625352639,Sartell,Minnesota,"Minneapolis-St. Paul, MN",56377,LOCATION_OF_PRESENCE,4,1,1.1594,0.25,0,
2025|06,Campaign #1,22625352639,Garner,Iowa,"Rochester, MN-Mason City, IA-Austin, MN",50438,LOCATION_OF_PRESENCE,3,1,1.1426,0.3333,0,
2025|06,Campaign #1,22625352639,Shakopee,Minnesota,"Minneapolis-St. Paul, MN",55379,LOCATION_OF_PRESENCE,56,2,1.0708,0.0357,1,1.0708
2025|06,Campaign #1,22625352639,Litchfield,Minnesota,"Minneapolis-St. Paul, MN",55355,LOCATION_OF_PRESENCE,1,1,0.96,1,0,
2025|06,Campaign #1,22625352639,Mankato,Minnesota,"Mankato, MN",56001,LOCATION_OF_PRESENCE,12,1,0.9536,0.0833,0,
2025|06,Campaign #1,22625352639,Saint Anthony,Minnesota,"Minneapolis-St. Paul, MN",55421,LOCATION_OF_PRESENCE,44,2,0.935,0.0455,1,0.935
2025|06,Campaign #1,22625352639,Saint Paul,Minnesota,"Minneapolis-St. Paul, MN",55105,LOCATION_OF_PRESENCE,17,1,0.8765,0.0588,0,
2025|06,Campaign #1,22625352639,Wadena,Minnesota,"Minneapolis-St. Paul, MN",56482,LOCATION_OF_PRESENCE,2,1,0.8747,0.5,0,
2025|06,Campaign #1,22625352639,Onalaska,Wisconsin,"La Crosse-Eau Claire, WI",54650,LOCATION_OF_PRESENCE,2,1,0.8743,0.5,0,
2025|06,Campaign #1,22625352639,Eagan,Minnesota,"Minneapolis-St. Paul, MN",55121,LOCATION_OF_PRESENCE,19,2,0.8712,0.1053,0,
2025|06,Campaign #1,22625352639,Eden Prairie,Minnesota,"Minneapolis-St. Paul, MN",55346,LOCATION_OF_PRESENCE,16,3,0.8505,0.1875,2,0.4252
2025|06,Campaign #1,22625352639,New Hope,Minnesota,"Minneapolis-St. Paul, MN",55428,LOCATION_OF_PRESENCE,27,1,0.837,0.037,1,0.837
2025|06,Campaign #1,22625352639,Emily,Minnesota,"Minneapolis-St. Paul, MN",56447,LOCATION_OF_PRESENCE,1,1,0.83,1,0,
2025|06,Campaign #1,22625352639,East Gull Lake,Minnesota,"Minneapolis-St. Paul, MN",56401,LOCATION_OF_PRESENCE,12,1,0.82,0.0833,0,
2025|06,Campaign #1,22625352639,Grand Rapids,Minnesota,"Duluth, MN-Superior, WI",55744,LOCATION_OF_PRESENCE,5,1,0.6595,0.2,0,
2025|06,Campaign #1,22625352639,Plymouth,Minnesota,"Minneapolis-St. Paul, MN",55446,LOCATION_OF_PRESENCE,45,4,0.6342,0.0889,8,0.0793
2025|06,Campaign #1,22625352639,Dakota,Minnesota,"La Crosse-Eau Claire, WI",55925,LOCATION_OF_PRESENCE,2,1,0.61,0.5,0,
2025|06,Campaign #1,22625352639,Lake Park,Minnesota,"Fargo-Valley City, ND",56554,LOCATION_OF_PRESENCE,4,1,0.6,0.25,0,
2025|06,Campaign #1,22625352639,Eau Claire,Wisconsin,"La Crosse-Eau Claire, WI",54703,LOCATION_OF_PRESENCE,4,1,0.4974,0.25,0,
2025|06,Campaign #1,22625352639,Little Canada,Minnesota,"Minneapolis-St. Paul, MN",55117,LOCATION_OF_PRESENCE,80,2,0.4751,0.025,2,0.2376
2025|06,Campaign #1,22625352639,Saint Paul,Minnesota,"Minneapolis-St. Paul, MN",55106,LOCATION_OF_PRESENCE,104,3,0.4739,0.0288,2,0.237
2025|06,Campaign #1,22625352639,North Mankato,Minnesota,"Minneapolis-St. Paul, MN",56003,LOCATION_OF_PRESENCE,3,1,0.4509,0.3333,0,
2025|06,Campaign #1,22625352639,Warrens,Wisconsin,"La Crosse-Eau Claire, WI",54666,AREA_OF_INTEREST,3,1,0.43,0.3333,0,
2025|06,Campaign #1,22625352639,Saint Paul,Minnesota,"Minneapolis-St. Paul, MN",55104,LOCATION_OF_PRESENCE,75,2,0.4,0.0267,0,
2025|06,Campaign #1,22625352639,Minneapolis,Minnesota,"Minneapolis-St. Paul, MN",55406,LOCATION_OF_PRESENCE,82,0,0.3572,0,0,
2025|06,Campaign #1,22625352639,Minneapolis,Minnesota,"Minneapolis-St. Paul, MN",55411,LOCATION_OF_PRESENCE,85,1,0.3554,0.0118,2,0.1777
2025|06,Campaign #1,22625352639,Minneapolis,Minnesota,"Minneapolis-St. Paul, MN",55407,LOCATION_OF_PRESENCE,77,0,0.3419,0,0,
2025|06,Campaign #1,22625352639,Sherburn,Minnesota,"Mankato, MN",56171,LOCATION_OF_PRESENCE,1,1,0.34,1,0,
2025|06,Campaign #1,22625352639,Eagle Grove,Iowa,"Des Moines-Ames, IA",50533,LOCATION_OF_PRESENCE,1,1,0.3355,1,0,
2025|06,Campaign #1,22625352639,Minneapolis,Minnesota,"Minneapolis-St. Paul, MN",55403,LOCATION_OF_PRESENCE,94,1,0.332,0.0106,1,0.332
2025|06,Campaign #1,22625352639,Cold Spring,Minnesota,"Minneapolis-St. Paul, MN",56320,LOCATION_OF_PRESENCE,2,1,0.33,0.5,0,
2025|06,Campaign #1,22625352639,Le Mars,Iowa,"Sioux City, IA",51031,LOCATION_OF_PRESENCE,2,1,0.2965,0.5,0,
2025|06,Campaign #1,22625352639,St. Louis Park,Minnesota,"Minneapolis-St. Paul, MN",55416,LOCATION_OF_PRESENCE,66,2,0.2959,0.0303,1,0.2959
2025|06,Campaign #1,22625352639,Breckenridge,Minnesota,"Fargo-Valley City, ND",56520,LOCATION_OF_PRESENCE,1,1,0.29,1,0,
2025|06,Campaign #1,22625352639,Maplewood,Minnesota,"Minneapolis-St. Paul, MN",55119,LOCATION_OF_PRESENCE,57,2,0.2296,0.0351,2,0.1148
2025|06,Campaign #1,22625352639,Oakdale,Minnesota,"Minneapolis-St. Paul, MN",55128,LOCATION_OF_PRESENCE,40,3,0.2213,0.075,2,0.1106
2025|06,Campaign #1,22625352639,New Brighton,Minnesota,"Minneapolis-St. Paul, MN",55112,LOCATION_OF_PRESENCE,56,2,0.2189,0.0357,2,0.1094
2025|06,Campaign #1,22625352639,Bloomington,Minnesota,"Minneapolis-St. Paul, MN",55420,LOCATION_OF_PRESENCE,50,3,0.2182,0.06,4,0.0546
2025|06,Campaign #1,22625352639,Saint Anthony,Minnesota,"Minneapolis-St. Paul, MN",55418,LOCATION_OF_PRESENCE,52,0,0.197,0,0,
2025|06,Campaign #1,22625352639,Saint Paul,Minnesota,"Minneapolis-St. Paul, MN",55116,LOCATION_OF_PRESENCE,37,1,0.1785,0.027,0,
2025|06,Campaign #1,22625352639,Eagan,Minnesota,"Minneapolis-St. Paul, MN",55122,LOCATION_OF_PRESENCE,39,3,0.1764,0.0769,0,
2025|06,Campaign #1,22625352639,Maple Grove,Minnesota,"Minneapolis-St. Paul, MN",55369,LOCATION_OF_PRESENCE,40,3,0.1728,0.075,3,0.0576
2025|06,Campaign #1,22625352639,Bloomington,Minnesota,"Minneapolis-St. Paul, MN",55425,LOCATION_OF_PRESENCE,40,1,0.1666,0.025,0,
2025|06,Campaign #1,22625352639,Coon Rapids,Minnesota,"Minneapolis-St. Paul, MN",55433,LOCATION_OF_PRESENCE,38,0,0.1656,0,0,
2025|06,Campaign #1,22625352639,Brooklyn Park,Minnesota,"Minneapolis-St. Paul, MN",55444,LOCATION_OF_PRESENCE,27,1,0.1637,0.037,0,
2025|06,Campaign #1,22625352639,Dellwood,Minnesota,"Minneapolis-St. Paul, MN",55110,LOCATION_OF_PRESENCE,38,0,0.1567,0,0,
2025|06,Campaign #1,22625352639,Spring Lake Park,Minnesota,"Minneapolis-St. Paul, MN",55432,LOCATION_OF_PRESENCE,29,0,0.1513,0,0,
2025|06,Campaign #1,22625352639,Cottage Grove,Minnesota,"Minneapolis-St. Paul, MN",55016,LOCATION_OF_PRESENCE,38,0,0.1475,0,0,
2025|06,Campaign #1,22625352639,Woodbury,Minnesota,"Minneapolis-St. Paul, MN",55129,LOCATION_OF_PRESENCE,33,0,0.139,0,0,
2025|06,Campaign #1,22625352639,Saint Paul,Minnesota,"Minneapolis-St. Paul, MN",55130,LOCATION_OF_PRESENCE,30,2,0.1361,0.0667,1,0.1361
2025|06,Campaign #1,22625352639,Crystal,Minnesota,"Minneapolis-St. Paul, MN",55429,LOCATION_OF_PRESENCE,31,1,0.1332,0.0323,2,0.0666
2025|06,Campaign #1,22625352639,Coon Rapids,Minnesota,"Minneapolis-St. Paul, MN",55448,LOCATION_OF_PRESENCE,29,1,0.1323,0.0345,0,
2025|06,Campaign #1,22625352639,Eagan,Minnesota,"Minneapolis-St. Paul, MN",55123,LOCATION_OF_PRESENCE,28,0,0.1282,0,0,
2025|06,Campaign #1,22625352639,Woodbury,Minnesota,"Minneapolis-St. Paul, MN",55125,LOCATION_OF_PRESENCE,32,0,0.1194,0,0,
2025|06,Campaign #1,22625352639,St. Louis Park,Minnesota,"Minneapolis-St. Paul, MN",55426,LOCATION_OF_PRESENCE,38,0,0.1182,0,0,
2025|06,Campaign #1,22625352639,Minnetonka,Minnesota,"Minneapolis-St. Paul, MN",55345,AREA_OF_INTEREST,66,1,0.11,0.0152,0,
2025|06,Campaign #1,22625352639,Burnsville,Minnesota,"Minneapolis-St. Paul, MN",55306,LOCATION_OF_PRESENCE,20,0,0.1087,0,0,
2025|06,Campaign #1,22625352639,Minneapolis,Minnesota,"Minneapolis-St. Paul, MN",55412,LOCATION_OF_PRESENCE,26,0,0.1074,0,0,
2025|06,Campaign #1,22625352639,Eden Prairie,Minnesota,"Minneapolis-St. Paul, MN",55347,LOCATION_OF_PRESENCE,35,1,0.1065,0.0286,2,0.0533
2025|06,Campaign #1,22625352639,Eden Prairie,Minnesota,"Minneapolis-St. Paul, MN",55344,LOCATION_OF_PRESENCE,34,0,0.1025,0,0,
2025|06,Campaign #1,22625352639,Fargo,North Dakota,"Fargo-Valley City, ND",58103,LOCATION_OF_PRESENCE,12,1,0.1009,0.0833,0,
2025|06,Campaign #1,22625352639,Aitkin,Minnesota,"Minneapolis-St. Paul, MN",56431,LOCATION_OF_PRESENCE,4,1,0.0985,0.25,1,0.0985
2025|06,Campaign #1,22625352639,Chaska,Minnesota,"Minneapolis-St. Paul, MN",55318,LOCATION_OF_PRESENCE,30,1,0.0972,0.0333,0,
2025|06,Campaign #1,22625352639,Minneapolis,Minnesota,"Minneapolis-St. Paul, MN",55413,LOCATION_OF_PRESENCE,30,1,0.0939,0.0333,0,
2025|06,Campaign #1,22625352639,Minneapolis,Minnesota,"Minneapolis-St. Paul, MN",55419,LOCATION_OF_PRESENCE,21,0,0.0921,0,0,
2025|06,Campaign #1,22625352639,Saint Paul,Minnesota,"Minneapolis-St. Paul, MN",55102,LOCATION_OF_PRESENCE,23,2,0.0909,0.087,3,0.0303
2025|06,Campaign #1,22625352639,Plymouth,Minnesota,"Minneapolis-St. Paul, MN",55447,LOCATION_OF_PRESENCE,26,1,0.0902,0.0385,1,0.0902
2025|06,Campaign #1,22625352639,Minneapolis,Minnesota,"Minneapolis-St. Paul, MN",55417,LOCATION_OF_PRESENCE,27,1,0.0886,0.037,0,
2025|06,Campaign #1,22625352639,Marshall,Minnesota,"Minneapolis-St. Paul, MN",56258,LOCATION_OF_PRESENCE,8,0,0.0874,0,0,
2025|06,Campaign #1,22625352639,Shorewood,Minnesota,"Minneapolis-St. Paul, MN",55331,LOCATION_OF_PRESENCE,21,0,0.0865,0,0,
2025|06,Campaign #1,22625352639,Rosemount,Minnesota,"Minneapolis-St. Paul, MN",55068,LOCATION_OF_PRESENCE,30,1,0.086,0.0333,2,0.043
2025|06,Campaign #1,22625352639,Bloomington,Minnesota,"Minneapolis-St. Paul, MN",55431,LOCATION_OF_PRESENCE,25,1,0.0855,0.04,0,
2025|06,Campaign #1,22625352639,Lake Elmo,Minnesota,"Minneapolis-St. Paul, MN",55042,LOCATION_OF_PRESENCE,11,0,0.0824,0,0,
2025|06,Campaign #1,22625352639,South Saint Paul,Minnesota,"Minneapolis-St. Paul, MN",55076,LOCATION_OF_PRESENCE,12,0,0.0824,0,0,
2025|06,Campaign #1,22625352639,South Saint Paul,Minnesota,"Minneapolis-St. Paul, MN",55075,LOCATION_OF_PRESENCE,17,0,0.0818,0,0,
2025|06,Campaign #1,22625352639,Savage,Minnesota,"Minneapolis-St. Paul, MN",55378,LOCATION_OF_PRESENCE,23,1,0.0813,0.0435,0,
2025|06,Campaign #1,22625352639,Bloomington,Minnesota,"Minneapolis-St. Paul, MN",55438,LOCATION_OF_PRESENCE,23,0,0.0762,0,0,
2025|06,Campaign #1,22625352639,Otsego,Minnesota,"Minneapolis-St. Paul, MN",55330,LOCATION_OF_PRESENCE,17,0,0.0749,0,0,
2025|06,Campaign #1,22625352639,Saint Paul,Minnesota,"Minneapolis-St. Paul, MN",55111,LOCATION_OF_PRESENCE,20,3,0.0749,0.15,2,0.0375
2025|06,Campaign #1,22625352639,Saint Michael,Minnesota,"Minneapolis-St. Paul, MN",55376,LOCATION_OF_PRESENCE,17,0,0.0746,0,0,
2025|06,Campaign #1,22625352639,North Oaks,Minnesota,"Minneapolis-St. Paul, MN",55126,LOCATION_OF_PRESENCE,24,0,0.0704,0,0,
2025|06,Campaign #1,22625352639,Minnetonka,Minnesota,"Minneapolis-St. Paul, MN",55305,AREA_OF_INTEREST,314,1,0.07,0.0032,0,
2025|06,Campaign #1,22625352639,Marshalltown,Iowa,"Des Moines-Ames, IA",50158,LOCATION_OF_PRESENCE,6,0,0.0697,0,0,
2025|06,Campaign #1,22625352639,Brooklyn Center,Minnesota,"Minneapolis-St. Paul, MN",55430,LOCATION_OF_PRESENCE,17,0,0.0682,0,0,
2025|06,Campaign #1,22625352639,Oak Park Heights,Minnesota,"Minneapolis-St. Paul, MN",55082,LOCATION_OF_PRESENCE,19,0,0.0667,0,0,
2025|06,Campaign #1,22625352639,Bloomington,Minnesota,"Minneapolis-St. Paul, MN",55437,LOCATION_OF_PRESENCE,20,0,0.0639,0,0,
2025|06,Campaign #1,22625352639,Park Rapids,Minnesota,"Minneapolis-St. Paul, MN",56470,LOCATION_OF_PRESENCE,8,1,0.0632,0.125,0,
2025|06,Campaign #1,22625352639,Necedah,Wisconsin,"Madison, WI",54646,LOCATION_OF_PRESENCE,2,0,0.0602,0,0,
2025|06,Campaign #1,22625352639,Farmington,Minnesota,"Minneapolis-St. Paul, MN",55024,LOCATION_OF_PRESENCE,21,1,0.0585,0.0476,0,
2025|06,Campaign #1,22625352639,Lino Lakes,Minnesota,"Minneapolis-St. Paul, MN",55014,LOCATION_OF_PRESENCE,14,2,0.0582,0.1429,2,0.0291
2025|06,Campaign #1,22625352639,Saint Paul,Minnesota,"Minneapolis-St. Paul, MN",55117,LOCATION_OF_PRESENCE,11,1,0.0582,0.0909,0,
2025|06,Campaign #1,22625352639,Waterloo,Iowa,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",50702,LOCATION_OF_PRESENCE,7,0,0.0573,0,0,
2025|06,Campaign #1,22625352639,West Salem,Wisconsin,"La Crosse-Eau Claire, WI",54669,LOCATION_OF_PRESENCE,4,0,0.0566,0,0,
2025|06,Campaign #1,22625352639,Minneapolis,Minnesota,"Minneapolis-St. Paul, MN",55405,LOCATION_OF_PRESENCE,19,0,0.0532,0,0,
2025|06,Campaign #1,22625352639,Corcoran,Minnesota,"Minneapolis-St. Paul, MN",55340,LOCATION_OF_PRESENCE,17,1,0.0523,0.0588,0,
2025|06,Campaign #1,22625352639,Champlin,Minnesota,"Minneapolis-St. Paul, MN",55316,LOCATION_OF_PRESENCE,19,0,0.0502,0,0,
2025|06,Campaign #1,22625352639,Worthington,Minnesota,"Sioux Falls(Mitchell), SD",56187,LOCATION_OF_PRESENCE,9,0,0.0491,0,0,
2025|06,Campaign #1,22625352639,Sioux Falls,South Dakota,"Sioux Falls(Mitchell), SD",57103,LOCATION_OF_PRESENCE,11,1,0.0487,0.0909,0,
2025|06,Campaign #1,22625352639,Wisconsin Rapids,Wisconsin,"Wausau-Rhinelander, WI",54494,LOCATION_OF_PRESENCE,7,0,0.0487,0,0,
2025|06,Campaign #1,22625352639,Hammond,Wisconsin,"Minneapolis-St. Paul, MN",54015,LOCATION_OF_PRESENCE,2,0,0.0469,0,0,
2025|06,Campaign #1,22625352639,Falcon Heights,Minnesota,"Minneapolis-St. Paul, MN",55108,LOCATION_OF_PRESENCE,14,0,0.0455,0,0,
2025|06,Campaign #1,22625352639,Wausau,Wisconsin,"Wausau-Rhinelander, WI",54401,LOCATION_OF_PRESENCE,8,0,0.0455,0,0,
2025|06,Campaign #1,22625352639,La Crosse,Wisconsin,"La Crosse-Eau Claire, WI",54601,LOCATION_OF_PRESENCE,7,0,0.0453,0,0,
2025|06,Campaign #1,22625352639,Owatonna,Minnesota,"Minneapolis-St. Paul, MN",55060,LOCATION_OF_PRESENCE,12,0,0.0442,0,0,
2025|06,Campaign #1,22625352639,Saint Paul,Minnesota,"Minneapolis-St. Paul, MN",55107,LOCATION_OF_PRESENCE,9,0,0.0432,0,0,
2025|06,Campaign #1,22625352639,New Hope,Minnesota,"Minneapolis-St. Paul, MN",55427,LOCATION_OF_PRESENCE,22,1,0.043,0.0455,1,0.043
2025|06,Campaign #1,22625352639,Austin,Minnesota,"Rochester, MN-Mason City, IA-Austin, MN",55912,LOCATION_OF_PRESENCE,11,3,0.0419,0.2727,1,0.0419
2025|06,Campaign #1,22625352639,Storm Lake,Iowa,"Sioux City, IA",50588,LOCATION_OF_PRESENCE,5,0,0.0419,0,0,
2025|06,Campaign #1,22625352639,Otsego,Minnesota,"Minneapolis-St. Paul, MN",55362,LOCATION_OF_PRESENCE,6,0,0.041,0,0,
2025|06,Campaign #1,22625352639,St. Louis Park,Minnesota,"Minneapolis-St. Paul, MN",55436,LOCATION_OF_PRESENCE,18,0,0.04,0,0,
2025|06,Campaign #1,22625352639,Sioux Falls,South Dakota,"Sioux Falls(Mitchell), SD",57110,LOCATION_OF_PRESENCE,7,0,0.0384,0,0,
2025|06,Campaign #1,22625352639,South Saint Paul,Minnesota,"Minneapolis-St. Paul, MN",55077,LOCATION_OF_PRESENCE,11,0,0.0384,0,0,
2025|06,Campaign #1,22625352639,Shakopee,Minnesota,"Minneapolis-St. Paul, MN",55372,LOCATION_OF_PRESENCE,11,0,0.0382,0,0,
2025|06,Campaign #1,22625352639,Saint Paul,Minnesota,"Minneapolis-St. Paul, MN",55114,LOCATION_OF_PRESENCE,8,0,0.0378,0,0,
2025|06,Campaign #1,22625352639,Willmar,Minnesota,"Minneapolis-St. Paul, MN",56201,LOCATION_OF_PRESENCE,9,0,0.0373,0,0,
2025|06,Campaign #1,22625352639,Northfield,Minnesota,"Minneapolis-St. Paul, MN",55057,LOCATION_OF_PRESENCE,15,0,0.037,0,0,
2025|06,Campaign #1,22625352639,Barron,Wisconsin,"Minneapolis-St. Paul, MN",54812,LOCATION_OF_PRESENCE,3,0,0.0355,0,0,
2025|06,Campaign #1,22625352639,St. Louis Park,Minnesota,"Minneapolis-St. Paul, MN",55424,LOCATION_OF_PRESENCE,14,1,0.0355,0.0714,1,0.0355
